epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3281,0,125.879,0,0,0,0,0,0,0,0,0.0001578,0.0001578,0.0001578
2,19.6828,0,115.472,0,0,0,0,0,0,1.24805,0,0.000320782,0.000320782,0.000320782
3,27.6034,0,107.337,0,0,0,0,0,0,0.09961,0,0.000483447,0.000483447,0.000483447
4,35.4276,0,101.709,0,0,0,0,0,0,0,0,0.000524844,0.000524844,0.000524844
5,43.1939,0,96.3668,0,0,0,0,0,0,0,0,0.000523947,0.000523947,0.000523947
6,50.9711,0,91.7347,0,0,0,0,0,0,0.11255,0,0.000522794,0.000522794,0.000522794
